Name,Total Citations,h-index,5 year h-index,i10-index,5 year i10-index
"RAFTERY, MICHAEL",NA,NA,NA,NA,NA
"YANG, ANAND",NA,NA,NA,NA,NA
"DANIEL, THOMAS",NA,NA,NA,NA,NA
"DOMINGOS, PEDRO",36599,81,54,142,113
"CASTNER, DAVID",NA,NA,NA,NA,NA
"NICOLAS, PETER",NA,NA,NA,NA,NA
"WANG, YINHAI",NA,NA,NA,NA,NA
"ZATZICK, DOUGLAS",NA,NA,NA,NA,NA
"CAMPBELL, CHARLES",27208,83,48,261,161
"FEROZ, EHSAN",2144,16,12,24,13
"MCKNIGHT, G",NA,NA,NA,NA,NA
"HERBERT, STEVEN",NA,NA,NA,NA,NA
"JARVIK, JEFFREY",9954,50,34,120,88
"ARMBRUST, E",NA,NA,NA,NA,NA
"IRVING, RONALD",NA,NA,NA,NA,NA
"BRENOWITZ, ELIOT",7458,49,25,96,60
"GROSSMAN, DANIEL",5421,36,25,69,53
"REH, THOMAS",NA,NA,NA,NA,NA
"DEMIRIS, GEORGE",NA,NA,NA,NA,NA
"CURLESS, BRIAN",23441,52,43,73,69
"WOLF, FREDRIC",NA,NA,NA,NA,NA
"SUCIU, DAN",27451,80,46,200,127
"MC CANN, MICHAEL",NA,NA,NA,NA,NA
"BRYERS, JAMES",6218,40,26,86,50
"HECKEL, BLAYNE",NA,NA,NA,NA,NA
"RATHOD, PRADIPSINH",NA,NA,NA,NA,NA
"PUN, SUZIE",8058,39,34,94,88
"AREAN, PATRICIA",NA,NA,NA,NA,NA
"HANNAFORD, BLAKE",18555,66,40,202,123
"REGNIER, MICHAEL",5451,34,24,82,64
"SHAPIRO, LINDA",18992,50,23,184,65
"DOBEL, J",NA,NA,NA,NA,NA
"RISKIN, EVE",4139,30,13,63,16
"NORONHA, GREGORY",1208,13,9,18,9
"WELLNER, JON",18801,49,31,106,67
"CALANDRILLO, STEVE",NA,NA,NA,NA,NA
"COLDWELL, SUSAN",NA,NA,NA,NA,NA
"ZIVOT, ERIC",10106,26,22,39,27
"MAIZELS, NANCY",NA,NA,NA,NA,NA
"VIDALE, JOHN",NA,NA,NA,NA,NA
"BATTISTI, DAVID",15891,56,38,109,86
"GLOYD, STEPHEN",NA,NA,NA,NA,NA
"MIZUMORI, SHERI",NA,NA,NA,NA,NA
"ANDERSON, ROBERT",NA,NA,NA,NA,NA
"EICHER, THEO",2949,27,20,39,26
"ZAGOTTA, WILLIAM",NA,NA,NA,NA,NA
"AKEY, JOSHUA",NA,NA,NA,NA,NA
"BROWN, ZANE",NA,NA,NA,NA,NA
"HARTMANN, DENNIS",23278,72,45,154,108
"SCOTT, ELAINE",NA,NA,NA,NA,NA
"RANSOM, BRUCE",18040,78,33,179,83
"KESSLER, LARRY",NA,NA,NA,NA,NA
"TURCK, MARVIN",NA,NA,NA,NA,NA
"ATLAS, LES",8792,43,21,115,46
"SAVAGE, MARTIN",14948,68,35,167,97
"SCHINDLER, DANIEL",14905,62,43,149,123
"DOORENBOS, ARDITH",NA,NA,NA,NA,NA
"MAHONEY, JOE",NA,NA,NA,NA,NA
"FAUSTMAN, ELAINE",NA,NA,NA,NA,NA
"DALE, DAVID",NA,NA,NA,NA,NA
"SHUMLAK, URI",1468,22,13,32,22
"STORM, DANIEL",NA,NA,NA,NA,NA
"KARLIN, ANNA",12703,48,26,77,55
"KLEVIT, RACHEL",NA,NA,NA,NA,NA
"KAEBERLEIN, MATT",19102,55,46,132,122
"DAGGETT, VALERIE",NA,NA,NA,NA,NA
"GOLDBERG, KAREN",NA,NA,NA,NA,NA
"THOMPSON, ELIZABETH",340,7,5,6,5
"STEINER, ROBERT",22024,73,40,172,80
"WAKEFIELD, JONATHAN",9468,53,30,122,83
"GARDINER, STEPHEN",NA,NA,NA,NA,NA
"DROBNY, GARY",NA,NA,NA,NA,NA
"BENNETT, WALTER",NA,NA,NA,NA,NA
"PATRICK, DONALD",59495,120,66,375,261
"HOOYMAN, NANCY",NA,NA,NA,NA,NA
"TRUELOVE, EDMOND",NA,NA,NA,NA,NA
"DERMISI, SOFIA",NA,NA,NA,NA,NA
"MAMISHEV, ALEXANDER",NA,NA,NA,NA,NA
"HOUZE, ROBERT",25533,84,46,189,150
"ALLARD, SCOTT",NA,NA,NA,NA,NA
"ROBERTSON, R",87,4,4,2,2
"HOPKINS, PAUL",NA,NA,NA,NA,NA
"ANDERSON, RICHARD",8140,47,20,143,60
"PROMISLOW, DANIEL",NA,NA,NA,NA,NA
"KATTI, RAJENDRA",NA,NA,NA,NA,NA
"GLEASON, CHRISTINE",NA,NA,NA,NA,NA
"DAVIS, CAROL",NA,NA,NA,NA,NA
"KIM, CHANG",8380,28,20,39,35
"DACEY, DENNIS",8149,45,26,65,43
"RAO, RAJESH",13313,54,37,125,90
"CONRAD, ERNEST",NA,NA,NA,NA,NA
"FENSKE, RICHARD",NA,NA,NA,NA,NA
"MORROW, JAMES",NA,NA,NA,NA,NA
"RHINES, PETER",NA,NA,NA,NA,NA
"FABIEN, BRIAN",NA,NA,NA,NA,NA
"PRAKASH, ASEEM",NA,NA,NA,NA,NA
"BLAKE, MICHAEL",1233,16,12,21,14
"WOODS, NANCY",NA,NA,NA,NA,NA
"BRUCE, JAMES",NA,NA,NA,NA,NA
"HERTZOG, DAVID",7713,35,18,61,24
"ANANTRAM, MANJERI",NA,NA,NA,NA,NA
"KELLY, LISA",NA,NA,NA,NA,NA
"FRIEDMAN, BATYA",7681,43,32,72,54
"RIES, RICHARD",NA,NA,NA,NA,NA
"BELLAMY, GEORGE",NA,NA,NA,NA,NA
"RILEY, JAMES",9349,42,21,85,41
"DRANGSHOLT, MARK",NA,NA,NA,NA,NA
"MITCHELL, KATHARYNE",NA,NA,NA,NA,NA
"WHITE, HAROLD",NA,NA,NA,NA,NA
"AGOL, ERIC",13717,60,47,137,114
"STELLA, NEPHI",NA,NA,NA,NA,NA
"MASS, CLIFFORD",7272,49,25,97,61
"HICKS, GREGORY",NA,NA,NA,NA,NA
"SIMONI, JANE",12077,62,44,146,126
"SOKOURENKO, EVGUENI",NA,NA,NA,NA,NA
"HOLLAND, ALAN",NA,NA,NA,NA,NA
"ODEGARD, PEGGY",NA,NA,NA,NA,NA
"PECK, CHARLES",NA,NA,NA,NA,NA
"DRTON, MATHIAS",3198,25,20,43,30
"LIN, KUEN-YUAN",NA,NA,NA,NA,NA
"CAO, GUOZHONG",28466,82,68,332,305
"PERKEL, DAVID",8697,41,26,68,59
"LIVNE, ELI",NA,NA,NA,NA,NA
"ALLEN, DAVID",NA,NA,NA,NA,NA
"MAMIDALA, RAMULU",6395,44,30,129,80
"REDDY, SANJAY",9572,41,29,66,51
"BALDWIN, LAURA",NA,NA,NA,NA,NA
"ATMAN, CYNTHIA",NA,NA,NA,NA,NA
"BAKER, JOEL",NA,NA,NA,NA,NA
"BEAME, PAUL",5618,39,22,87,45
"COSTA, LUCIO",NA,NA,NA,NA,NA
"NOBLE, WILLIAM",34316,77,55,186,154
"LEWIS, FRANCES",NA,NA,NA,NA,NA
"DELUCA, THOMAS",NA,NA,NA,NA,NA
"NELSON, ANN",22195,62,36,114,68
"WINGLEE, ROBERT",NA,NA,NA,NA,NA
"HO, RODNEY",NA,NA,NA,NA,NA
"CROWDER, KYLE",5785,41,30,52,49
"GUNDLACH, JENS",NA,NA,NA,NA,NA
"LOMBARDI, CLARK",535,11,10,11,10
"BOYLE, LINDA",2783,30,25,51,44
"PARRISH, JULIA",NA,NA,NA,NA,NA
"ARDUINO, PEDRO",NA,NA,NA,NA,NA
"COLLINGWOOD, DAVID",NA,NA,NA,NA,NA
"STANTON, JOHN",1793,26,19,31,25
"GODA, BRYAN",NA,NA,NA,NA,NA
"GORDON, SHARONA",NA,NA,NA,NA,NA
"LEVEQUE, RANDALL",24964,55,31,103,69
"LI, JIANGYU",7895,44,35,137,110
"LIEBER, ANDRE",NA,NA,NA,NA,NA
"SWANSON, PHILLIP",NA,NA,NA,NA,NA
"MARCENKO, MAUREEN",NA,NA,NA,NA,NA
"SHAPIRO, MICHAEL",NA,NA,NA,NA,NA
"ANDERSON, HELEN",NA,NA,NA,NA,NA
"EMERY, ASHLEY",NA,NA,NA,NA,NA
"KRAMER, STEVEN",NA,NA,NA,NA,NA
"JAY, STEWART",13642,56,38,182,153
"CAMPBELL, LEE",NA,NA,NA,NA,NA
"HINDS, BRUCE",NA,NA,NA,NA,NA
"DURRAN, DALE",8615,48,29,87,60
"FINK, PAMELA",NA,NA,NA,NA,NA
"GUSTAFSON, RICHARD",NA,NA,NA,NA,NA
"BRETHERTON, CHRISTOPHER",24594,74,52,169,137
"BOERSMA, P",NA,NA,NA,NA,NA
"POPOVIC, ZORAN",13366,48,42,86,81
"MILLER, GREGORY",1133,20,8,27,8
"SCHLOSSER, ANN",NA,NA,NA,NA,NA
"SYNOVEC, ROBERT",NA,NA,NA,NA,NA
"WORDEMAN, LINDA",NA,NA,NA,NA,NA
"BOSTROM, ANN",7076,33,27,55,45
"GREMBOWSKI, DAVID",4530,34,20,79,40
"KORSHIN, GREGORY",4645,38,29,84,71
"PRATT, WANDA",5580,38,28,79,61
"BERG, JOHN",NA,NA,NA,NA,NA
"DOUGHERTY, CYNTHIA",NA,NA,NA,NA,NA
"THORNTON, JUDITH",NA,NA,NA,NA,NA
"MOODY, WILLIAM",NA,NA,NA,NA,NA
"GALLAGHER, EVAN",NA,NA,NA,NA,NA
"HILL, KRISTI",NA,NA,NA,NA,NA
"HU, SHIU-LOK",NA,NA,NA,NA,NA
"MONTGOMERY, DAVID",NA,NA,NA,NA,NA
"STUVE, ERIC",2868,29,13,48,18
"VEDAL, SVERRE",NA,NA,NA,NA,NA
"TUTTLE, MARK",NA,NA,NA,NA,NA
"MC COY, ANNE",NA,NA,NA,NA,NA
"ROSENFELD, MICHAEL",NA,NA,NA,NA,NA
"SUNG, KELVIN",904,17,10,25,13
"MACCOSS, MICHAEL",18188,64,51,145,133
"MANOIL, COLIN",NA,NA,NA,NA,NA
"NELSON, BRUCE",NA,NA,NA,NA,NA
"WHITNEY, JOANNE",NA,NA,NA,NA,NA
"YAFFE, LAURENCE",14527,51,32,94,47
"XU, WENQING",NA,NA,NA,NA,NA
"ROSE, GREGORY",4964,34,25,55,41
"GEORGE, WILLIAM",6987,44,32,109,82
"KAVANAGH, TERRANCE",NA,NA,NA,NA,NA
"JAFFE, DANIEL",11386,57,40,138,108
"MITCHELL, PAMELA",16280,49,34,111,75
"STIBER, MICHAEL",732,17,5,22,1
"LONDON, TODD",NA,NA,NA,NA,NA
"MORRIS, WANDA",NA,NA,NA,NA,NA
"STEIG, ERIC",12738,53,39,129,102
"ZIERLER, BRENDA",NA,NA,NA,NA,NA
"LADIGES, WARREN",NA,NA,NA,NA,NA
"LEROUX, BRIAN",NA,NA,NA,NA,NA
"PARSEK, MATTHEW",NA,NA,NA,NA,NA
"RUZZO, WALTER",15195,47,29,76,48
"ROSENBERG, LESLIE",NA,NA,NA,NA,NA
"HOFFMAN, CHRISTOPHER",870,16,13,24,14
"VAUGHN, LEA",NA,NA,NA,NA,NA
"POLLACK, GERALD",NA,NA,NA,NA,NA
"DALCANTON, JULIANNE",NA,NA,NA,NA,NA
"EMERSON, SCOTT",NA,NA,NA,NA,NA
"SCHWARTZ, STEPHEN",NA,NA,NA,NA,NA
"SHEN, DANNY",NA,NA,NA,NA,NA
"STEVENS, NANCY",NA,NA,NA,NA,NA
"KRAMLICH, JOHN",NA,NA,NA,NA,NA
"HURLEY, JAMES",NA,NA,NA,NA,NA
"ROHDE, STEFFEN",NA,NA,NA,NA,NA
"LINGAPPA, JAISRI",NA,NA,NA,NA,NA
"MILLER, GERALD",NA,NA,NA,NA,NA
"TUNCEL, SELIM",NA,NA,NA,NA,NA
"LARSON, TIMOTHY",10477,60,38,145,91
"KIMELMAN, DAVID",NA,NA,NA,NA,NA
"XIA, ZHENGUI",NA,NA,NA,NA,NA
"NITTROUER, CHARLES",11477,65,31,141,85
"HWANG, JENQ-NENG",8544,41,24,162,63
"BELZA, BASIA",NA,NA,NA,NA,NA
"HALLET, BERNARD",NA,NA,NA,NA,NA
"MEADOWS, VICTORIA",5762,39,30,85,69
"MARTIN, MICHAEL",4869,31,19,60,35
"GUGERTY, MARY",2578,15,14,19,16
"KOBLITZ, NEAL",17063,40,23,69,48
"HERTING, JERALD",NA,NA,NA,NA,NA
"SEIXAS, NOAH",NA,NA,NA,NA,NA
"KEMP, SUSAN",NA,NA,NA,NA,NA
"MCDERMOTT, LILLIAN",NA,NA,NA,NA,NA
"MCDONALD, DAVID",7622,36,27,69,49
"SHEPPARD, ELIZABETH",NA,NA,NA,NA,NA
"WATTS, KATHRYN",NA,NA,NA,NA,NA
"STATEN, HENRY",NA,NA,NA,NA,NA
"SWALLA, BILLIE",5358,39,23,84,38
"MAZZA, JAMES",NA,NA,NA,NA,NA
"ALBERTI, MARINA",8933,34,30,42,35
"ZUMETA, WILLIAM",NA,NA,NA,NA,NA
"STUETZLE, WERNER",NA,NA,NA,NA,NA
"BAIOCCHI, ORLANDO",NA,NA,NA,NA,NA
"DELANEY, JOHN",NA,NA,NA,NA,NA
"LAWSON, VICTORIA",NA,NA,NA,NA,NA
"WONG, SHAWN",NA,NA,NA,NA,NA
"KAUFMAN, JOEL",NA,NA,NA,NA,NA
"THOMAS, CRAIG",NA,NA,NA,NA,NA
"SARIKAYA, MEHMET",NA,NA,NA,NA,NA
"TAKENAKA, TOSHIKO",NA,NA,NA,NA,NA
"BINDER, MARC",5252,44,13,68,21
"NGHIEM, PAUL",NA,NA,NA,NA,NA
"FAN, MARY",NA,NA,NA,NA,NA
"KLINGER, TERRIE",NA,NA,NA,NA,NA
"TEMPEL, BRUCE",NA,NA,NA,NA,NA
"HAUSCHKA, STEPHEN",NA,NA,NA,NA,NA
"MASTROIANNI, ANNA",NA,NA,NA,NA,NA
"OHUCHI, FUMIO",NA,NA,NA,NA,NA
"BECKETT, KATHERINE",NA,NA,NA,NA,NA
"IVEZIC, ZELJKO",82766,124,80,254,210
"TORO, TATIANA",NA,NA,NA,NA,NA
"GROSS, TED",4237,38,23,61,48
"COOPER, JOYCE",3043,21,15,33,23
"RAIBLE, DAVID",NA,NA,NA,NA,NA
"MCKNIGHT, BARBARA",NA,NA,NA,NA,NA
"PARICHY, DAVID",NA,NA,NA,NA,NA
"DOMKE, DAVID",3646,26,20,37,28
"FU, QIANG",3657,18,17,25,23
"SCOTT, C",464,11,8,12,5
"KARPEN, RICHARD",NA,NA,NA,NA,NA
"WALKER, JAMIE",NA,NA,NA,NA,NA
"WEISS, NOEL",NA,NA,NA,NA,NA
"SANDALL, SUSAN",NA,NA,NA,NA,NA
"LARAMORE, GEORGE",NA,NA,NA,NA,NA
"HAWKINS, JOHN",NA,NA,NA,NA,NA
"WILCOCK, WILLIAM",3460,35,19,63,44
"KATZE, MICHAEL",NA,NA,NA,NA,NA
"MODARRES, ALI",NA,NA,NA,NA,NA
"BENDER, WILLIAM",NA,NA,NA,NA,NA
"RUOHOLA-BAKER, HANNELE",NA,NA,NA,NA,NA
"CAPORASO, JAMES",NA,NA,NA,NA,NA
"BANKS, JAMES",1641,13,13,14,13
"VOGT, KRISTIINA",NA,NA,NA,NA,NA
"CULLEN, ALISON",1877,20,12,26,13
"MOY, PATRICIA",NA,NA,NA,NA,NA
